name,diameter,coordinates,approval year,gender, famous_for,ethnicity,human_name,,continent
L'Engle,86°38′S 69°37′E﻿ / ﻿86.63°S 69.62°E﻿ / -86.63; 69.62﻿ (L'Engle),62,2013,Female,author,United States ,Madeleine L'Engle,Madeleine L'Engle,North America
Lennon,36°25′S 41°11′E﻿ / ﻿36.41°S 41.18°E﻿ / -36.41; 41.18﻿ (Lennon),95,2013,Male,musician,England,John Lennon,John Lennon,Europe
Lovecraft,86°14′S 73°49′W﻿ / ﻿86.24°S 73.82°W﻿ / -86.24; -73.82﻿ (Lovecraft),51.97,2013,Male,author,United States ,H. P. Lovecraft,H. P. Lovecraft,North America
Monk,66°05′N 63°49′E﻿ / ﻿66.08°N 63.81°E﻿ / 66.08; 63.81﻿ (Monk),12,2013,Male,musician,United States ,Thelonious Monk,Thelonious Monk,North America
Pahinui,28°10′S 213°13′W﻿ / ﻿28.16°S 213.21°W﻿ / -28.16; -213.21﻿ (Pahinui),54,2013,Male,guitarist,United States,Gabby Pahinui,Gabby Pahinui,North America
Petőfi,83°33′S 119°21′E﻿ / ﻿83.55°S 119.35°E﻿ / -83.55; 119.35﻿ (Petőfi),61,2013,Male,poet,Hungary,Sándor Petőfi,Sándor Petőfi,Europe
Remarque,84°56′N 6°28′W﻿ / ﻿84.94°N 6.46°W﻿ / 84.94; -6.46﻿ (Remarque),25.9,2013,Male,author,Germany ,Erich Maria Remarque,Erich Maria Remarque,Europe
Rikyū,79°55′N 22°44′W﻿ / ﻿79.91°N 22.74°W﻿ / 79.91; -22.74﻿ (Rikyū),22.4,2013,Male,tea master,Japan ,Sen no Rikyū,Sen no Rikyū,Asia
Roerich,84°23′S 58°56′W﻿ / ﻿84.39°S 58.94°W﻿ / -84.39; -58.94﻿ (Roerich),111.67,2013,Male,painter,Russia ,Nicholas Roerich,Nicholas Roerich,Europe/Asia
Ruysch,10°42′S 94°07′E﻿ / ﻿10.7°S 94.12°E﻿ / -10.7; 94.12﻿ (Ruysch),64,2013,Female,painter,The Netherlands,Rachel Ruysch,Rachel Ruysch,Europe
