Name,Diameter,Coordinates,Approval Year,Eponym,Link
Aśvaghoṣa,10°37′N 21°29′W﻿ / ﻿10.61°N 21.49°W﻿ / 10.61; -21.49﻿ (Aśvaghoṣa),88,1976,"Aśvaghoṣa, Sanskrit, poet",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/528
Atget,25°34′N 166°23′E﻿ / ﻿25.57°N 166.38°E﻿ / 25.57; 166.38﻿ (Atget),100,2008,"Eugène Atget, French photographer",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/14394
Bach,69°52′S 103°01′W﻿ / ﻿69.86°S 103.01°W﻿ / -69.86; -103.01﻿ (Bach),214.29,1976,"Johann Sebastian Bach, German composer",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/537
Bagryana,3°53′S 283°44′W﻿ / ﻿3.89°S 283.73°W﻿ / -3.89; -283.73﻿ (Bagryana),101,2015,"Elisaveta Bagryana, Bulgarian poet",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/15387
Balagtas,22°34′S 13°54′W﻿ / ﻿22.56°S 13.9°W﻿ / -22.56; -13.9﻿ (Balagtas),104,1976,"Francisco Balagtas, Filipino poet",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/568
Balanchine,38°28′N 175°31′E﻿ / ﻿38.47°N 175.52°E﻿ / 38.47; 175.52﻿ (Balanchine),38,2012,"George Balanchine, Georgian choreographer",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/14955
Baranauskas,50°44′N 39°46′W﻿ / ﻿50.73°N 39.76°W﻿ / 50.73; -39.76﻿ (Baranauskas),36,2015,"Antanas Baranauskas, Lithuanian poet",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/15388
Barney,11°41′S 59°43′E﻿ / ﻿11.69°S 59.71°E﻿ / -11.69; 59.71﻿ (Barney),29,2013,"Natalie Clifford Barney, American-French playwright, poet, and novelist",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/15185
Balzac,10°37′N 144°40′W﻿ / ﻿10.62°N 144.67°W﻿ / 10.62; -144.67﻿ (Balzac),67,1976,"Honoré de Balzac, French writer",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/587
Bartók,29°13′S 135°04′W﻿ / ﻿29.22°S 135.06°W﻿ / -29.22; -135.06﻿ (Bartók),118,1979,"Béla Bartók, Hungarian composer",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/624
Barma,40°56′S 163°29′W﻿ / ﻿40.93°S 163.49°W﻿ / -40.93; -163.49﻿ (Barma),123,1982,"Postnik ""Barma"" Yakovlev, Russian architect",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/607
Bashō,32°23′S 170°27′W﻿ / ﻿32.39°S 170.45°W﻿ / -32.39; -170.45﻿ (Bashō),75,1979,"Matsuo Bashō, Japanese poet",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/628
Bechet,83°05′N 93°40′W﻿ / ﻿83.08°N 93.66°W﻿ / 83.08; -93.66﻿ (Bechet),17.6,2013,"Sidney Bechet, American jazz musician and composer",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/15138
Beckett,40°12′S 111°17′E﻿ / ﻿40.2°S 111.29°E﻿ / -40.2; 111.29﻿ (Beckett),60,2008,"Clarice Beckett, Australian painter",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/14511
Beethoven,20°52′S 124°13′W﻿ / ﻿20.86°S 124.21°W﻿ / -20.86; -124.21﻿ (Beethoven),630,1976,"Ludwig van Beethoven, German composer",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/660
Bek,21°10′N 50°59′W﻿ / ﻿21.16°N 50.99°W﻿ / 21.16; -50.99﻿ (Bek),32,2010,"Bek, Egyptian sculptor",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/14641
Belinskij,77°05′S 103°55′W﻿ / ﻿77.09°S 103.92°W﻿ / -77.09; -103.92﻿ (Belinskij),70.67,1985,"Vissarion Belinsky, Russian literary critic",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/670
Bellini,33°46′S 272°50′W﻿ / ﻿33.77°S 272.83°W﻿ / -33.77; -272.83﻿ (Bellini),45,2019,"Giovanni Bellini, Italian painter",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/15811
Bello,18°52′S 120°11′W﻿ / ﻿18.87°S 120.18°W﻿ / -18.87; -120.18﻿ (Bello),139,1976,"Andrés Bello, Venezuelan writer",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/675
Benoit,7°29′N 104°21′E﻿ / ﻿7.48°N 104.35°E﻿ / 7.48; 104.35﻿ (Benoit),40,2009,"Rigaud Benoit, Haitian artist",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/14575
Berkel,13°44′S 26°49′E﻿ / ﻿13.73°S 26.81°E﻿ / -13.73; 26.81﻿ (Berkel),23,2009,"Sabri Berkel, Turkish painter",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/14576
Berlioz,79°20′N 38°50′E﻿ / ﻿79.33°N 38.83°E﻿ / 79.33; 38.83﻿ (Berlioz),31.44,2013,"Hector Berlioz, French composer",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/15186
Bernini,80°19′S 140°58′W﻿ / ﻿80.32°S 140.97°W﻿ / -80.32; -140.97﻿ (Bernini),168.13,1976,"Gian Lorenzo Bernini, Italian sculptor",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/708
